Date,Temperature,Rainfall,Humidity,Water_Consumption,Reservoir_Level,Groundwater_Level,Pressure,Flow_Rate,Leakage_Status,Water_Shortage_Risk
2023-01-29,27.9,87.1,88,8484,95,28.1,32.7,102.1,Yes,Low
2023-01-30,41.0,141.4,54,5094,67,6.0,72.1,77.6,No,Low
2023-01-31,39.7,82.2,74,5340,77,35.3,44.3,102.6,No,Medium
2023-02-01,35.5,29.8,54,4925,32,14.3,75.9,96.8,No,Medium
2023-02-02,29.6,34.7,89,6964,42,9.2,41.2,53.0,No,Low
2023-02-03,42.8,176.1,32,6324,61,19.0,49.9,43.1,Yes,Low
2023-02-04,26.8,156.1,48,1880,100,26.1,26.7,72.3,Yes,Low
2023-02-05,37.4,7.6,61,4871,46,5.6,58.3,101.5,No,Medium
2023-02-06,42.4,14.6,50,6173,59,8.6,42.2,69.7,No,Medium
2023-02-07,42.7,180.2,70,6098,85,26.9,38.5,84.6,No,Low
2023-02-08,27.3,241.6,60,2019,23,19.7,64.1,105.1,No,Low
2023-02-09,27.3,23.8,41,2048,96,28.0,29.3,31.8,Yes,Low
2023-02-10,23.7,80.7,88,3427,53,16.7,54.4,87.3,No,Low
2023-02-11,35.7,130.3,80,8100,66,29.2,24.5,62.9,Yes,Low
2023-02-12,33.0,163.6,88,2101,92,25.5,24.1,81.3,Yes,Low
2023-02-13,25.2,157.8,40,4648,26,22.0,67.8,33.7,Yes,Low
2023-02-14,41.0,196.6,81,2714,61,5.6,25.3,46.9,Yes,Low
2023-02-15,18.7,116.0,37,2371,80,17.9,25.8,47.9,Yes,Low
2023-02-16,34.1,37.9,51,3437,62,28.8,59.0,30.4,Yes,Low
2023-02-17,20.7,19.9,84,5363,81,34.8,21.4,93.0,Yes,Medium
2023-02-18,30.5,114.7,78,2146,39,19.3,53.4,87.3,No,Low
2023-02-19,19.9,96.5,62,5413,90,37.9,48.3,75.9,No,Low
2023-02-20,43.1,114.7,31,6311,49,36.2,43.0,50.3,No,Medium
2023-02-21,30.7,174.4,83,1533,88,22.2,57.8,59.6,No,Low
2023-02-22,39.9,84.4,82,6440,70,34.6,59.0,115.4,No,Medium
2023-02-23,26.3,66.3,86,5208,78,24.5,51.3,104.4,No,Low
2023-02-24,39.6,162.3,56,4738,70,33.0,21.5,104.9,Yes,Medium
2023-02-25,32.2,200.0,71,2325,60,26.1,23.8,44.3,Yes,Low
2023-02-26,28.6,47.4,69,7456,91,18.8,44.7,101.0,No,Low
2023-02-27,34.0,133.6,66,7494,73,29.6,50.5,55.2,No,Low
2023-02-28,44.2,231.2,65,6597,44,17.6,45.4,98.6,No,Low
2023-03-01,21.3,142.6,64,6221,35,30.9,49.4,96.9,No,Low
2023-03-02,19.8,39.1,91,8625,62,22.6,32.0,41.2,Yes,Low
2023-03-03,34.3,61.5,34,8396,32,36.6,71.8,34.7,Yes,Medium
2023-03-04,25.8,204.1,49,1858,71,28.9,62.0,95.1,No,Low
2023-03-05,38.1,136.5,76,7947,71,24.7,33.6,92.5,Yes,Medium
2023-03-06,37.9,166.9,63,6828,36,29.0,63.7,93.9,No,Low
2023-03-07,34.2,39.4,49,5921,48,23.2,74.3,71.7,No,Low
2023-03-08,27.8,176.6,36,2530,62,7.9,66.9,65.5,No,Low
2023-03-09,30.7,99.6,83,4612,97,32.8,56.4,37.8,Yes,Low
2023-03-10,34.2,34.7,42,5634,89,40.0,75.9,60.5,No,Low
2023-03-11,20.4,231.1,83,7876,56,36.5,57.6,84.3,No,Medium
2023-03-12,22.8,124.8,50,6825,98,12.0,64.9,102.4,No,Low
2023-03-13,23.7,138.9,82,4530,35,39.1,55.2,56.1,No,Low
2023-03-14,40.9,56.1,66,7248,23,29.3,55.7,66.0,No,Medium
2023-03-15,22.8,28.6,62,4426,28,14.8,51.5,97.0,No,Medium
2023-03-16,33.8,131.2,72,2742,22,34.8,49.3,35.6,Yes,Medium
2023-03-17,20.7,85.8,32,7555,90,30.0,54.9,83.0,No,Low
2023-03-18,25.9,217.0,66,7020,35,18.1,24.7,66.8,Yes,Low
2023-03-19,26.6,69.8,73,3352,87,22.8,52.9,35.1,Yes,Low
2023-03-20,29.2,153.4,89,7169,37,36.8,71.8,60.2,No,Medium
2023-03-21,34.9,244.1,52,2315,49,12.5,56.2,60.0,No,Low
2023-03-22,36.2,7.9,75,6554,99,21.4,43.3,89.6,No,Medium
2023-03-23,39.6,12.8,30,2013,64,38.8,38.8,56.9,No,Medium
2023-03-24,25.3,107.9,64,8798,81,18.2,56.5,40.9,Yes,Low
2023-03-25,31.0,92.4,54,2474,99,27.6,60.1,113.4,No,Low
2023-03-26,39.9,244.5,35,3650,40,39.9,33.8,104.1,Yes,Medium
2023-03-27,35.0,33.7,80,6562,88,38.7,52.8,44.3,Yes,Low
2023-03-28,37.2,163.4,52,3780,38,21.9,42.6,43.8,Yes,Low
2023-03-29,44.4,207.3,36,6114,84,31.9,41.2,52.0,No,Medium
2023-03-30,39.1,132.1,49,3925,70,38.2,62.7,40.8,Yes,Medium
2023-03-31,21.1,30.4,58,2900,92,28.4,36.7,74.7,No,Low
2023-04-01,22.9,158.8,57,8549,48,30.8,30.2,104.1,Yes,Medium
2023-04-02,33.6,111.8,55,6978,64,9.8,63.4,99.3,No,Low
2023-04-03,22.1,93.7,32,3493,66,10.0,71.5,110.9,No,Low
2023-04-04,34.8,50.5,94,8730,48,30.8,50.5,117.2,No,Medium
2023-04-05,42.6,138.0,32,4296,39,30.5,32.9,54.3,Yes,Medium
2023-04-06,36.7,59.1,83,2819,52,13.2,49.2,31.2,Yes,Low
2023-04-07,18.4,37.0,86,4191,92,27.3,31.2,71.3,Yes,Low
2023-04-08,34.4,32.8,37,2350,65,38.0,27.2,71.5,Yes,Low
2023-04-09,24.8,239.5,52,8686,76,29.9,73.0,108.6,No,Low
2023-04-10,20.8,36.6,81,6540,96,25.5,32.2,83.0,Yes,Low
2023-04-11,37.5,140.6,82,3353,50,31.6,40.5,98.3,No,Medium
2023-04-12,19.4,109.9,75,2116,84,35.6,79.4,69.3,No,Low
2023-04-13,26.0,228.9,95,3652,95,23.3,38.0,83.8,No,Low
2023-04-14,18.8,23.1,67,1525,79,19.3,60.0,41.1,Yes,Low
2023-04-15,19.6,68.4,61,7895,72,16.4,67.7,39.2,Yes,Low
2023-04-16,22.7,82.9,46,3813,84,8.1,47.8,110.4,No,Low
2023-04-17,34.3,245.3,54,1586,70,28.7,36.7,111.9,No,Low
2023-04-18,22.2,88.5,73,2212,53,38.2,58.1,49.2,No,Low
2023-04-19,37.1,200.6,73,8922,53,19.3,20.3,42.4,Yes,Medium
2023-04-20,34.8,24.3,88,5178,62,36.4,44.6,45.0,No,Medium
2023-04-21,21.1,180.4,70,6490,48,9.4,31.7,114.5,Yes,Low
2023-04-22,41.0,66.1,46,1831,43,31.1,25.2,45.8,Yes,Medium
2023-04-23,36.2,50.7,72,7298,65,27.6,44.9,77.4,No,Medium
2023-04-24,33.4,244.6,62,2780,73,33.1,54.4,69.4,No,Low
2023-04-25,44.6,29.6,77,5691,35,32.5,69.8,66.3,No,Medium
2023-04-26,24.7,101.1,67,4789,73,37.9,36.4,44.6,Yes,Low
2023-04-27,24.3,106.0,52,4241,37,13.2,43.0,92.6,No,Low
2023-04-28,44.1,84.8,65,2632,53,20.3,49.9,40.4,Yes,Low
2023-04-29,33.8,211.6,63,5968,59,19.4,79.7,52.7,No,Low
2023-04-30,30.7,158.1,94,6705,64,24.5,40.9,102.4,No,Low
2023-05-01,29.1,71.9,47,6515,24,21.1,73.8,35.7,Yes,Low
2023-05-02,44.9,48.1,93,6303,93,20.4,44.3,81.6,No,Low
2023-05-03,38.0,159.5,43,4720,84,24.6,25.4,36.3,Yes,Low
2023-05-04,28.8,22.9,42,2322,99,16.7,46.2,69.1,No,Low
2023-05-05,28.1,113.0,62,1591,32,7.3,67.5,63.2,No,Low
2023-05-06,27.1,5.0,85,7989,58,15.8,46.5,34.7,Yes,Medium
2023-05-07,26.2,169.5,48,4887,43,33.3,43.6,92.3,No,Low
2023-05-08,37.2,46.4,32,4638,85,9.7,42.6,30.4,Yes,Low
2023-05-09,36.6,92.9,92,8099,37,17.4,30.8,64.3,Yes,Medium
2023-05-10,37.9,100.3,63,2132,93,38.1,76.7,74.4,No,Medium
2023-05-11,27.5,51.7,54,5385,84,34.3,31.4,67.4,Yes,Low
2023-05-12,31.5,229.2,41,7196,74,6.5,74.2,52.2,No,Low
2023-05-13,27.2,126.9,87,5634,59,34.8,27.2,103.2,Yes,Low
2023-05-14,25.5,41.2,59,5384,35,28.4,30.1,69.1,Yes,Low
2023-05-15,43.7,235.7,34,6103,78,6.5,75.5,61.9,No,Low
2023-05-16,19.1,196.5,88,7664,25,39.6,60.2,114.9,No,Medium
2023-05-17,22.5,208.5,66,7053,66,5.9,77.8,87.3,No,Low
2023-05-18,20.6,230.5,80,2945,68,33.1,27.5,105.9,Yes,Low
2023-05-19,44.7,175.3,40,6272,63,24.2,32.6,46.4,Yes,Low
2023-05-20,29.5,110.7,65,7517,28,18.2,63.0,106.0,No,Medium
2023-05-21,31.6,13.6,87,2694,28,18.9,75.9,65.4,No,Medium
2023-05-22,31.2,94.3,90,4129,94,5.7,34.4,43.0,Yes,Low
2023-05-23,21.3,70.9,68,4665,75,10.5,39.5,97.1,No,Low
2023-05-24,43.9,67.1,73,7329,96,39.5,40.4,62.7,No,Medium
2023-05-25,43.9,234.4,61,6393,43,31.5,52.5,111.8,No,Medium
2023-05-26,31.5,240.6,84,3730,51,11.8,58.6,68.5,No,Low
2023-05-27,19.2,38.4,59,1614,70,34.6,67.0,91.6,No,Low
2023-05-28,18.9,57.8,44,8081,74,23.9,34.5,61.6,Yes,Low
2023-05-29,33.0,152.1,46,4014,61,24.3,57.2,60.3,No,Low
2023-05-30,43.7,40.3,58,1548,74,31.1,66.7,72.6,No,Medium
2023-05-31,40.0,87.8,76,6620,70,32.2,59.0,55.0,No,Medium
2023-06-01,42.8,183.5,44,3969,96,20.6,73.9,92.6,No,Low
2023-06-02,40.9,48.6,54,7016,93,23.1,56.9,116.6,No,Medium
2023-06-03,25.2,194.5,79,4122,81,34.6,20.3,62.2,Yes,Low
2023-06-04,32.2,129.7,82,3726,57,26.0,27.4,101.2,Yes,Low
2023-06-05,25.2,157.7,80,3203,44,34.3,66.8,55.2,No,Low
2023-06-06,21.5,103.7,71,5988,42,24.6,70.5,44.7,Yes,Low
2023-06-07,28.2,161.3,48,2636,71,37.8,53.6,60.9,No,Low
2023-06-08,34.4,183.4,61,8452,31,12.9,72.7,90.1,No,Medium
2023-06-09,33.4,109.9,93,2790,33,24.2,68.7,64.4,No,Low
2023-06-10,18.7,208.6,85,8640,47,19.8,56.5,108.2,No,Low
2023-06-11,28.8,223.4,80,1774,39,37.5,72.6,99.8,No,Low
2023-06-12,38.5,50.8,55,7111,55,26.5,44.2,53.7,No,Medium
2023-06-13,26.1,240.0,47,4490,51,18.3,60.9,48.6,No,Low
2023-06-14,23.2,175.8,84,5822,40,21.4,76.5,67.6,No,Low
2023-06-15,30.4,140.0,91,8323,59,32.7,65.9,104.8,No,Medium
2023-06-16,43.3,182.3,44,2065,57,9.7,40.0,107.7,No,Low
2023-06-17,34.2,14.0,33,1773,70,27.8,44.8,68.2,No,Low
2023-06-18,20.5,207.6,61,6704,63,11.6,78.5,41.0,Yes,Low
2023-06-19,26.5,2.5,79,3411,36,10.3,37.5,79.1,No,Low
2023-06-20,31.6,57.5,42,6825,84,13.0,28.4,83.9,Yes,Low
2023-06-21,40.1,17.0,86,3289,48,38.0,29.3,117.0,Yes,Medium
2023-06-22,22.2,187.3,56,3171,35,24.5,59.8,107.0,No,Low
2023-06-23,26.0,98.8,79,6213,50,10.5,45.4,40.4,Yes,Low
2023-06-24,19.9,118.4,46,7201,35,15.8,31.4,92.3,Yes,Low
2023-06-25,27.5,54.9,76,5196,91,15.5,47.2,80.3,No,Low
2023-06-26,36.0,80.6,95,8651,69,10.5,26.5,43.6,Yes,Low
2023-06-27,44.9,172.5,78,3199,66,25.6,21.9,96.0,Yes,Low
2023-06-28,22.5,101.2,47,6825,25,36.2,50.0,50.5,No,Medium
2023-06-29,19.1,78.5,82,5911,56,32.2,45.0,55.1,No,Low
2023-06-30,23.5,39.1,38,3363,84,38.9,41.5,112.2,No,Low
2023-07-01,35.1,3.3,55,6927,65,15.1,73.0,103.3,No,Low
2023-07-02,39.5,15.8,82,4956,44,23.6,32.9,116.8,Yes,Medium
2023-07-03,25.0,187.6,87,3642,80,9.4,35.5,104.3,No,Low
2023-07-04,28.3,97.9,53,5043,68,9.7,54.2,86.0,No,Low
2023-07-05,32.0,129.7,73,2198,83,30.4,80.0,102.2,No,Low
2023-07-06,24.6,246.8,48,5649,56,29.5,56.2,68.3,No,Low
2023-07-07,29.1,130.0,70,8473,87,19.1,24.2,117.0,Yes,Low
2023-07-08,39.2,21.6,51,8683,36,23.2,68.9,104.6,No,Medium
2023-07-09,21.2,114.9,78,3079,21,21.9,22.3,76.4,Yes,Low
2023-07-10,20.2,91.7,88,2093,63,23.8,45.1,87.0,No,Low
2023-07-11,33.1,229.0,64,2655,64,23.9,44.4,100.3,No,Low
2023-07-12,33.4,23.7,46,5653,98,30.8,48.6,107.3,No,Medium
2023-07-13,22.5,212.8,93,4224,57,26.2,27.9,104.1,Yes,Low
2023-07-14,32.1,101.0,72,5460,21,9.2,29.4,98.3,Yes,Low
2023-07-15,41.0,237.2,42,8232,97,35.9,48.4,38.0,Yes,Medium
2023-07-16,23.7,161.6,38,2752,20,28.0,51.0,92.1,No,Low
2023-07-17,29.7,94.9,94,4893,91,13.8,78.0,60.3,No,Low
2023-07-18,26.6,199.7,50,5374,44,31.9,70.5,84.2,No,Low
2023-07-19,44.9,126.0,39,2524,47,26.3,41.0,48.4,No,Low
2023-07-20,37.0,113.6,53,7411,95,19.8,46.6,97.5,No,Medium
2023-07-21,36.5,233.7,75,3141,37,10.5,37.6,60.6,No,Low
2023-07-22,38.4,223.8,91,6212,82,17.6,38.8,84.6,No,Low
2023-07-23,19.8,35.7,74,6529,37,34.1,72.2,95.5,No,Low
2023-07-24,36.0,214.5,92,3147,42,8.7,49.6,106.0,No,Low
2023-07-25,38.8,207.0,42,1944,83,12.2,32.2,91.7,Yes,Low
2023-07-26,18.1,229.8,68,6100,66,12.0,69.2,33.2,Yes,Low
2023-07-27,30.5,218.2,65,6136,94,37.1,51.4,58.3,No,Low
2023-07-28,26.5,47.7,49,5345,53,32.8,33.3,116.4,Yes,Low
2023-07-29,34.2,224.5,39,3018,21,35.6,40.9,51.5,No,Medium
2023-07-30,44.1,158.6,36,3522,38,12.9,75.2,108.2,No,Low
2023-07-31,27.3,83.1,57,6061,34,28.5,79.9,62.9,No,Low
2023-08-01,30.9,35.6,82,5900,99,21.0,79.9,102.1,No,Low
2023-08-02,43.6,115.7,40,4000,57,27.2,39.7,63.3,No,Low
2023-08-03,22.2,156.4,36,3379,93,18.5,33.2,37.9,Yes,Low
2023-08-04,39.2,92.8,68,1558,56,22.7,36.5,46.4,No,Low
2023-08-05,23.1,66.9,39,4318,57,21.3,77.1,92.3,No,Low
2023-08-06,31.7,218.3,66,6271,74,18.0,56.8,35.5,Yes,Low
2023-08-07,19.6,167.9,88,7078,54,15.2,38.6,107.3,No,Low
2023-08-08,29.5,203.2,79,5378,97,33.5,44.5,105.4,No,Low
2023-08-09,29.7,117.7,72,7190,47,28.0,41.3,98.0,No,Low
2023-08-10,34.4,234.9,84,5030,93,33.9,40.1,82.6,No,Low
2023-08-11,44.9,63.6,50,2110,37,15.5,45.1,118.5,No,Low
2023-08-12,31.0,43.5,34,2035,65,12.1,71.3,55.9,No,Low
2023-08-13,29.9,242.6,46,3730,84,19.0,30.2,73.3,Yes,Low
2023-08-14,24.3,175.9,39,2613,50,26.2,30.8,106.6,Yes,Low
2023-08-15,32.3,142.8,62,3992,64,7.4,42.9,46.5,No,Low
2023-08-16,21.1,213.6,40,8792,97,22.2,29.6,61.0,Yes,Low
2023-08-17,26.1,122.5,30,2373,95,20.2,57.3,119.8,No,Low
2023-08-18,26.1,165.5,32,3176,32,12.2,25.1,40.3,Yes,Low
2023-08-19,32.8,219.7,48,7182,92,7.8,64.8,33.4,Yes,Low
2023-08-20,20.6,236.8,48,7911,59,12.8,24.8,103.5,Yes,Low
2023-08-21,33.4,196.2,61,8301,75,28.7,79.7,82.0,No,Low
2023-08-22,44.5,98.0,59,7747,95,12.2,39.9,92.4,No,Medium
2023-08-23,38.3,115.3,65,8917,60,29.8,29.9,88.7,Yes,Medium
2023-08-24,42.3,175.1,50,2279,36,34.6,21.2,54.3,Yes,Medium
2023-08-25,32.2,228.0,62,6807,52,12.1,66.9,114.6,No,Low
2023-08-26,28.4,33.2,55,5873,60,20.0,30.7,67.4,Yes,Low
2023-08-27,27.2,227.2,30,5759,26,15.3,52.5,114.8,No,Low
2023-08-28,44.0,229.3,46,4499,72,13.1,75.8,52.4,No,Low
2023-08-29,34.2,198.4,72,3886,37,8.6,35.1,56.2,No,Low
2023-08-30,40.8,0.3,85,7183,57,25.3,26.0,114.6,Yes,Medium
2023-08-31,30.8,130.0,61,2070,68,34.4,70.1,85.2,No,Low
2023-09-01,33.1,152.4,49,4881,70,23.5,22.2,116.2,Yes,Low
2023-09-02,24.1,193.9,76,8037,91,16.3,65.3,116.1,No,Low
2023-09-03,18.3,212.1,59,6044,60,35.6,56.7,44.1,Yes,Low
2023-09-04,21.2,59.6,74,5702,59,12.1,56.1,110.1,No,Low
2023-09-05,35.0,99.8,35,1910,24,33.0,48.6,34.1,Yes,Medium
2023-09-06,44.2,21.7,78,4285,95,10.0,62.7,30.9,Yes,Medium
2023-09-07,32.6,173.3,45,8073,89,29.0,25.3,51.5,Yes,Low
2023-09-08,42.5,165.0,41,4459,56,27.3,48.0,69.4,No,Low
2023-09-09,44.7,11.1,47,6248,89,25.4,24.0,50.7,Yes,Medium
2023-09-10,33.1,218.7,55,5379,79,38.8,36.0,47.0,No,Low
2023-09-11,20.7,85.1,53,7749,58,6.2,33.2,100.7,Yes,Low
2023-09-12,31.2,92.0,57,8726,48,15.7,74.1,50.4,No,Low
2023-09-13,23.9,114.0,87,4774,44,10.1,35.0,48.0,No,Low
2023-09-14,36.3,186.9,64,3872,84,22.6,78.6,69.1,No,Low
2023-09-15,34.1,202.2,35,7117,89,24.7,31.4,76.7,Yes,Low
2023-09-16,25.1,205.2,72,1750,98,16.4,73.3,61.6,No,Low
2023-09-17,31.6,44.2,57,5622,45,15.6,70.6,79.4,No,Low
2023-09-18,36.5,215.2,64,7823,56,32.2,70.0,104.2,No,Medium
2023-09-19,31.8,166.9,94,8922,21,8.3,50.7,113.3,No,Medium
2023-09-20,32.9,161.1,37,3264,89,27.0,64.3,80.1,No,Low
2023-09-21,35.2,169.3,80,2039,60,33.6,28.5,82.6,Yes,Low
2023-09-22,36.7,83.9,63,6209,60,27.9,49.5,61.1,No,Low
2023-09-23,26.6,32.8,40,8002,57,31.0,43.1,78.7,No,Medium
2023-09-24,43.1,122.2,35,8632,26,35.3,39.0,54.8,No,High
2023-09-25,29.5,82.7,37,7503,64,7.3,35.2,103.1,No,Low
2023-09-26,27.1,205.4,87,3448,55,23.4,37.5,47.6,No,Low
2023-09-27,19.0,21.1,68,7803,35,31.8,28.7,54.1,Yes,Medium
2023-09-28,22.0,211.5,42,7566,97,21.0,24.1,62.8,Yes,Low
2023-09-29,22.4,132.7,93,7577,45,10.1,69.2,60.2,No,Low
2023-09-30,40.6,203.1,81,1943,35,39.4,58.7,55.6,No,Medium
2023-10-01,30.1,59.1,34,6519,51,11.7,61.2,41.3,Yes,Low
2023-10-02,39.1,155.2,69,8681,69,38.5,42.0,67.6,No,Medium
2023-10-03,38.1,35.9,53,8678,86,19.7,46.1,111.7,No,Medium
2023-10-04,40.2,228.3,77,2277,53,15.5,71.5,36.3,Yes,Low
2023-10-05,23.3,149.1,92,6206,83,18.1,29.2,98.0,Yes,Low
2023-10-06,29.5,25.5,31,2736,91,34.5,50.8,65.8,No,Medium
2023-10-07,28.5,29.4,88,8951,91,30.8,40.9,34.9,Yes,Medium
2023-10-08,34.7,100.0,51,7768,38,19.0,56.5,72.2,No,Low
2023-10-09,25.0,130.3,36,1759,59,13.3,76.3,78.7,No,Low
2023-10-10,19.3,65.4,35,6714,26,39.9,69.9,100.4,No,Medium
2023-10-11,41.9,178.0,48,5874,65,15.7,35.7,90.7,No,Low
2023-10-12,21.0,178.8,95,7721,65,35.6,50.9,76.0,No,Medium
2023-10-13,37.2,99.9,37,8966,60,31.7,60.6,49.3,No,Medium
2023-10-14,43.1,3.6,62,5534,81,22.2,25.7,40.7,Yes,Medium
2023-10-15,22.6,110.1,76,2146,79,23.1,56.3,55.7,No,Low
2023-10-16,33.9,129.4,30,2037,75,35.8,64.4,109.2,No,Low
2023-10-17,43.6,88.0,57,7957,56,7.4,57.3,84.6,No,Medium
2023-10-18,36.5,51.1,67,2870,67,21.8,78.5,113.4,No,Low
2023-10-19,26.0,100.5,45,1970,100,7.4,53.9,40.5,Yes,Low
2023-10-20,23.3,141.2,69,4028,89,21.0,60.7,72.5,No,Low
2023-10-21,44.6,88.2,89,5346,39,31.5,30.2,52.0,Yes,Medium
2023-10-22,18.4,48.6,35,4959,62,7.8,37.4,109.3,No,Low
2023-10-23,23.9,242.5,50,5500,95,15.7,59.1,117.7,No,Low
2023-10-24,40.4,26.7,89,7605,64,16.6,45.0,53.9,No,Medium
2023-10-25,20.3,236.4,65,5552,31,24.1,62.4,109.9,No,Low
2023-10-26,27.9,54.5,73,6013,39,35.2,24.4,78.7,Yes,Low
2023-10-27,42.1,102.2,39,7150,48,22.7,21.5,118.6,Yes,Medium
2023-10-28,39.0,216.8,90,3731,97,18.2,49.2,46.6,No,Low
2023-10-29,29.4,180.5,65,1504,41,14.3,53.4,60.2,No,Low
2023-10-30,35.6,98.3,30,6525,70,17.6,21.3,74.5,Yes,Low
2023-10-31,34.5,98.9,38,7407,81,36.9,69.9,86.8,No,Medium
2023-11-01,39.0,6.6,53,2644,82,7.7,66.8,42.6,Yes,Medium
2023-11-02,37.5,161.0,81,3569,40,28.6,40.2,100.7,No,Low
2023-11-03,34.4,96.3,73,1732,53,29.1,47.6,57.6,No,Low
2023-11-04,40.9,51.3,33,6472,30,35.7,41.6,74.1,No,Medium
2023-11-05,25.6,197.4,39,1976,79,11.4,44.4,45.6,No,Low
2023-11-06,32.7,73.9,68,8829,66,26.9,66.8,36.6,Yes,Low
2023-11-07,24.3,109.3,67,5695,96,32.8,50.4,52.6,No,Low
2023-11-08,40.7,200.5,53,6922,47,27.4,27.2,85.6,Yes,Low
2023-11-09,31.0,174.3,33,6754,45,19.0,78.8,47.3,No,Low
2023-11-10,29.1,107.1,93,4038,56,8.9,75.2,32.2,Yes,Low
2023-11-11,19.2,145.5,61,4994,76,10.6,67.4,93.7,No,Low
2023-11-12,25.3,110.2,36,1510,56,21.9,54.4,76.6,No,Low
2023-11-13,20.2,94.7,32,8864,72,32.2,71.6,71.4,No,Medium
2023-11-14,39.9,16.7,35,7115,96,37.3,70.6,63.5,No,High
2023-11-15,18.0,9.3,83,8049,54,5.2,45.7,102.4,No,Medium
2023-11-16,32.9,8.4,30,1862,21,8.2,67.5,66.5,No,Medium
2023-11-17,39.4,46.7,57,4492,83,38.6,75.3,90.8,No,Medium
2023-11-18,23.6,83.9,55,7822,61,35.7,33.9,48.5,Yes,Medium
2023-11-19,32.2,121.7,71,7958,43,26.6,26.5,59.9,Yes,Low
2023-11-20,29.4,140.2,68,7391,97,32.8,48.4,95.7,No,Medium
2023-11-21,39.4,36.8,66,7704,35,30.1,69.0,38.3,Yes,Medium
2023-11-22,23.2,241.2,31,2082,32,20.7,41.3,88.5,No,Low
2023-11-23,34.0,82.2,45,4877,81,11.6,64.9,35.8,Yes,Low
2023-11-24,36.5,135.6,40,6936,84,34.1,71.9,55.3,No,Medium
2023-11-25,22.2,172.0,58,8534,80,6.8,77.4,114.4,No,Low
2023-11-26,22.0,230.5,56,3122,79,27.4,35.2,90.0,No,Low
2023-11-27,31.3,50.5,63,4156,81,28.7,52.5,52.1,No,Low
2023-11-28,39.0,57.4,89,4062,30,5.6,51.7,97.9,No,Medium
2023-11-29,30.8,161.5,67,3077,99,34.5,46.6,54.1,No,Low
2023-11-30,37.2,227.7,92,6450,97,13.2,66.2,37.9,Yes,Low
2023-12-01,21.6,247.7,94,7142,40,5.6,32.3,35.1,Yes,Low
2023-12-02,35.1,199.3,66,3826,97,33.6,23.7,117.7,Yes,Low
2023-12-03,29.4,62.1,42,2506,88,37.8,35.2,61.1,No,Low
2023-12-04,40.0,5.9,66,6329,23,7.6,63.8,64.9,No,Medium
2023-12-05,30.8,220.5,94,6772,79,31.2,27.1,107.1,Yes,Low
2023-12-06,40.3,88.7,53,3831,66,8.6,54.7,36.7,Yes,Low
2023-12-07,21.7,151.9,76,7951,96,36.6,25.9,119.8,Yes,Medium
2023-12-08,27.4,104.6,44,3722,88,14.7,22.3,53.5,Yes,Low
2023-12-09,20.6,166.1,55,8867,56,38.4,35.8,34.4,Yes,Medium
2023-12-10,23.9,205.7,75,4733,72,9.4,71.3,43.7,Yes,Low
2023-12-11,39.8,228.3,63,4562,46,33.0,37.2,64.3,No,Medium
